Looks Like food,Berry Case,Berry Table,Berry Chair,Berry Bed,Table Setting,Pizza,Fried Potatoes,Soda Float,Afternoon Tea Set,Chocolate Cookies,Sandwiches,Shaved Ice,Ribbon Cake,Berry Basket,Berry Clock,Berry Wall Decoration,Berry Tablet Lamp,Berry Hanging Lamp,Berry Print wallpaper,Leftovers,Berry Print,Lunch Box,Juice Trio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lots of Dirt,Paints,Knitting Supplies,Sandbox,Punching Bag,Sandbags,Wheelbarrow,Fossils (All),Mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lots of Fire,Cooking Stove,Fiery Magby Statue,Campfire,Torch,Slender Candle,Eerie Candle,Wall Torch,Firepit,Bonfire,Smelting Furnace,Metallic Smelting Furnace,Charcoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lots of Nature,Berry Case,Straw Table,Log Table,Garden Table,Berry Table,Berry Chair,Log Chair,Garden Chair,Garden Bench,Log Bed,Straw Bed,Berry Bed,Wooden Bed,Berry Basket,Tall Potted Plant,Flat Leaf Plant,Twisted Potted plant,Berry Clock,Vine Wall Decoration,Berry Wall Decoration,Berry Tablet Lamp,Seedot Lamp,Berry Hanging Lamp,Berry Print wallpaper,Miracle Seed,Silver Powder,Big Root,Berry Print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lots of Water,Resort hammock,Paper Party Cups,Soda Float,Shaved Ice,Modern Sink,Toilet,Sink,Bathtime Set,Cleaning Supplies,Shower,Bathtub,Bouncy Blue Bathtub,Humidifier,Funky Diffuser,Water Basin,Inflatable Boat,Beach Parasol,Horsea Fountain,Fire Hydrant,Sprinkler,Mystic Water,Water Pillar Quarter,Hoppip Water Bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxury,Antique Chest,Antique Closet,Antique Table,Chic Table,Luxury Table,Chic Chair,Fancy Chair,Antique Chair,Luxury Chair,Gaming Chair,Chic Sofa,Antique Sofa,Luxury Sofa,Guest Room Bed,Antique Bed,Luxury Bed,Wall Mirror,Large Mirror,Antique dresser,Luxury dresser,Afternoon Tea Set,Fancy pen,Stone Fireplace,Dining Cabinet,Auspicous Armor,Malicious Armor,Antique Clock,Chansey Plant,Pokeball Light,Pokeball Lamp,Luxury Lamp,Antique Chandelier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metal Stuff,Copper Ore,Iron Ore,Gold Ore,Pokemetal Fragment,Rare Pokemetal Fragment,Copper Ingot,Iron Ingot,Gold Ingot,Pokemetal,Office Cabinet,Gaming Fridge,Pokeball Chest,Office Table,Iron Stand,Industrial desk,Iron Table,Office desk,Industrial Chair,Iron Chair,Public Seat,Spectator Chair,Luxury Chair,Garden Chair,Folding Chair,Office Chair,Iron Bench,Industrial Bench,Garden Bench,Pokeball Sofa,Iron Bed,Industrial Bed,Small Garbage Can,Fancy pen,Modern Sink,Cooking Stove,Microwave Oven,Refrigerator,Fancy pen,Air Conditioner,Washing Machine,Shower,Tablet,Cell Phone,Laptop,Computer,Gaming PC,Television,Wall Monitor,Alarm Clock,Funky Diffuser,First Aid Kit,Microscope,Science Experiment,Jumbled Cords,Gold teeth,Big Nugget,Step Stool,Spacesuit,Model Space Shuttle,Spaceship,Vending Machine,Bike,Mailbox,Weather Vane,,,,
Nice Breezes,Fan,Air Conditioner,Pinwheels,Tidal Bell,Model Space Shuttle,Ceiling Fan,Weather Vane,Large Ventilation Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noisy Stuff,Alarm Clock,CD Player,Cool Electric Guitar,Cool Bass Guitar,Speaker,Clear Bell,Tidal Bell,Music Mats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean Vibes,Resort Stool,Resort Chair,Resort Sofa,Resort Bed,Deck Chair,Beach Chair,Resort hammock,Ships Wheel,Beach Parasol,Horsea Fountain,Fishing Rod,Harbor Streetlight,Shell Lamp,Resort Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Play Spaces,Arcade Machine,Toy Blocks,Pinwheels,Balloons,Punching Game,Boo-In-The-Box,Wobbuffet Wobbler,Sandbox,Tire Toy,Slide,Small Stage,Music Mats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretty Flowers,Small Vase,Leafy Plant,Extravagant Flowers,Tall Potted Plant,Flat Leaf Plant,Twisted Potted plant,Decorative Plant Shelf,Wall Mounted Flowers,Chansey Plant,Garden Flowers,Wildflowers,Seashore Flowers,Mountain Flowers,Skyland Flowers,Beautiful Flowers,Cute Flowers,Elegant Flowers,Robust Flowers,Flower Cushion,Flowery Table Setting,Flower Garland,Flower Backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rides,Step Stool,Model Space Shuttle,Spaceship,Bike,handcar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round Stuff,Fluff,Pokeball Chest,Pizza,Chocolate Cookies,Ribbon Cake,Small Garbage Can,Alarm Clock,Knitting Supplies,Humidifier,Crystal Ball,Big Drum,Big Nugget,Balloons,Wobbuffet Wobbler,Clear Bell,Tidal Bell,Ships Wheel,Spaceship,Wreath,Berry Clock,Firepit,Tire Toy,Concrete Pipe,Chansey Plant,Small Stage,Water Basin,Canoe,Barrel,Tires,Metal Drum,Construction Supplies,Pokeball Lamp,Model Planet,Seedot Lamp,Surface Lamp,Paint Balloon,Fireworks (All),CDs,Nugget,Silver Bottle Cap,Gold Bottle Cap,Lucky Egg,Life Orb,Iron Ball,Adrenaline Orb,Flame Orb,Ring Target,,,,,,,,,,,,,,,,,,,,,
Sharp Stuff,Vending Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiny Stuff,Crystal Fragment,Stardust,Pokeball Chest,Iron Stand,Gaming Chair,Gaming Bed,Bathtime Set,Cleaning Supplies,Tablet,Cell Phone,Laptop,Computer,Gaming PC,Television,Wall Monitor,Crystal Ball,Tabletop mic,Standing Mic,Gold teeth,Big Nugget,Whiteboard,Auspicous Armor,Clear Bell,Gym Emblem Statue,Spacesuit,Model Space Shuttle,Bell,Signpost,Information Board,Fire Hydrant,Mini Generator,Mushroom Streetlight,Chic Streetlight,Meteor Lamp (All),Mirror Ball,Flourescent Light,Music Mats,Star Piece,Nugget,Silver Bottle Cap,Gold Bottle Cap,Metal powder,Clear Amulet,Rainbow Feather,Silver Feather,,,,,,,,,,,,,,,,,,,,,,,
Slender Objects,Vine Rope,Twine,Small Vase,Tall Potted Plant,Flat Leaf Plant,Twisted Potted plant,Fancy pen,Shower,Vine Wall Decoration,Slender Candle,Wooden Birdhouse,Fishing Rod,Mushroom Streetlight,Town Streetlight,Harbor Streetlight,Chic Streetlight,Double Streetlight,Desk Light,Luxury Lamp,Flourescent Light,Berry Hanging Lamp,Wing Fossil (All),Headbutt Fossil (All),Shield Fossil (All),Despot Fossil (All),Tundra Fossil (All),Wire,Metal chain,Rope,Broken Streetlight,Inflatable Sudowoodo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soft Stuff,Squishy Clay,Fluff,Straw Stool,Berry Chair,Simple Cushion,Plain Stool,Resort Stool,Stylish Stool,Soft Seat,Box Sofa,Plain Chair,Resort Chair,Chic Chair,Fancy Chair,Antique Chair,Office Chair,Cute Chair,Pop Art Chair,Gaming Chair,Plain Sofa,Resort Sofa,Chic Sofa,Antique Sofa,Luxury Sofa,Cute Sofa,Pop Art Sofa,Pikachu Sofa,Log Bed,Mini Plain Bed,Resort Bed,Iron Bed,Beach Chair,Straw Bed,Pop Art Bed,Pokeball Bed,Berry Bed,Wooden Bed,Plain Bed,Resort hammock,Guest Room Bed,Antique Bed,Industrial Bed,Luxury Bed,Cute Bed,Gaming Bed,Naptime Bed,Towel Rack,Knitting Supplies,Eevee Doll,Pikachu Doll,Clefairy Doll,Dragonite Doll,Ditto Doll,Substitute Doll,Soft Sand,Light Clay,Cotton Spores,Flower Cushion,Flowery Table Setting,Flower Garland,Flower Backpack,,,,,,,
Spinning Stuff,Fancy Chair,Office Chair,Gaming Chair,Fancy Chair,Pinwheels,Ceiling Fan,Castform Weather Charm,Weather Vane,Small Stage,Large Ventilation Fan,Model Planet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spooky Stuff,Luxury Chair,Pitcher Plant Pot,Munna Bank,Boo-In-The-Box,Mysterious Statue,Slender Candle,Eerie Candle,Gravestone,Mushroom Streetlight,Spell Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Stuff,Stone,Stone Bench,Luxury Bed,Small Vase,Pitcher Plant Pot,Extravagant Flowers,Tall Potted Plant,Munna Bank,Pencil Holder,Stone Fireplace,Toilet,Sink,Bathtub,Gold teeth,Gold Nugget,Mysterious Statue,fire magby statue,Gym Emblem Statue,Spacesuit,Model Space Shuttle,Spaceship,Decorative Storage Shelf,Campfire,Slender Candle,Eerie Candle,Wall Torch,Firepit,Concrete Pipe,Garden Ornament,Horsea Fountain,Signpost,Information Board,Ditto Flag,Sprinkler,Stone Tiling wallpaper,Stone Flooring wallpaper,Stone Brick Wall wallpaper,Light Clay,Stone brigh wall,Stone pillar all,Stone Flooring,Stone Tiling,Stone Steps,Stone Hipped Roof,Stone Roof Valley,Stone Debris,Metal Debris,,,,,,,,,,,,,,,,,,,,,
Strange Stuff,Armor Fragment,Polygonal Shelf,Wall Mirror,Large Mirror,Luxury dresser,Cute Dresser,Wiggly Mirror,CD Rack,Modern Sink,Cooking Stove,Microwave Oven,Refrigerator,Air Conditioner,Printer,Washing Machine,Toilet,Sink,Shower,Bathtub,Bouncy Blue Bathtub,Alarm Clock,Humidifier,Funky Diffuser,Crystal Ball,Microscope,Standing Mic,Cool Electric Guitar,Cool Bass Guitar,Audio Mixer,Gold teeth,Repel,Boo-In-The-Box,Wobbuffet Wobbler,Auspicous Armor,Malicious Armor,Clear Bell,Tidal Bell,Mysterious Statue,Fiery Magby Statue,Decorative Storage Shelf,Rowlet Clock,Hanging Scroll,Ceiling Fan,Castform Weather Charm,Bike,Gravestone,Cannon,Bell,Small Stage,Horsea Fountain,Excavation Tools,Large Ventilation Fan,Cash Register,Sprinkler,Mini Generator,Card Reader,Pokeball Lamp,Music Mats,Large Lost Relic,Small Lost Relic,Twisted Spoon,Town Map,Fossils (All),Inflatable Sudowoodo,,,,
Symbols,Mug,Sign,Signpost,Information Board,Team Rocket Wall Hanging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watching Stuff,Wall Mirror,Wiggly Mirror,Small Vase,Leafy Plant,Pitcher Plant Pot,Extravagant Flowers,Tall Potted Plant,Flat Leaf Plant,Twisted Potted plant,Letter,Notepad,Book,Open Book,Papers,Newspaper,Photo Frame,Wall Photo Frame,Corkboard,CD Rack,Magazine Rack,Mini Bookcase,Bookcase,Television,Wall Monitor,Pinwheels,Microscope,Wall Calendar,Rowlet Clock,Berry Wall Decoration,Grubby Newspaper,Bonfire,Blank Canvas,Paintings (all),Photo Cutout Board,Frame,Town Map,Team Rocket Wall Hanging,Water Pillar Quarter,Flower Garland,Inflatable Sudowoodo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wobbly Stuff,Folding Chair,Resort hamock,Leafy Plant,Pitcher Plant Pot,Extravagant Flowers,Big Drum,Balloons,Punching Game,Wobbuffet Wobbler,Berry Clock,Ceiling Fan,Tire Toy,Punching Bag,Bell,Inflatable Boat,Fishing Rod,Tires,Resort Light,Inflatable Sudowoodo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wooden Stuff,Storage Box,Wall Storage Box,Big Storage Box,Plain Chest,Office Cabinet,Antique Chest,Plain Closet,Antique Closet,Log Table,Plain Stand,Food Counter,Plain Table,Antique Table,study desk,Log Chair,Plain Chair,Log Bed,Guest Room Bed,Wooden plate,CD Rack,Magazine Rack,Mini Bookcase,Bookcase,Dining Cabinet,Toy Blocks,Wreath,Antique Clock,Slide,Water Basin,Arrow Sign,Menu Board,Sign,Worn Wooden Crate,Wooden Crate,Barrel,Frame,Cutting Board,Mushroom Lamp,Stone Fragments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
